bench_name,model_cycle,temperature,num_completions,max_rollout_depth,max_requests_per_attempt,max_dollar_budget,seed,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
112,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,152,3,4,0.2,1,True,19,63779,60672,42982,0.0400929
112,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,24,3,6,0.2,1,True,3,10091,9472,4542,0.006116699999999999
112,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,96,3,4,0.2,2,True,12,40322,38528,22418,0.02506725
112,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,40,3,6,0.2,2,True,5,16783,15872,2454,0.0098439
112,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,240,3,4,0.2,2,True,30,100866,95232,67838,0.06307215000000001
112,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,40,3,6,0.2,2,True,5,16831,16000,10633,0.010522125
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,48,3,4,0.2,0,True,6,19710,15360,2530,0.01005825
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,24,3,6,0.2,0,True,3,9853,9216,1286,0.0057216
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,24,3,4,0.2,0,True,3,9900,9344,3347,0.005940824999999999
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,24,3,6,0.2,0,True,3,9893,9216,11987,0.006530175
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,48,3,4,0.2,1,True,6,19844,18560,2500,0.0115161
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,24,3,6,0.2,1,True,3,9839,9216,1133,0.005708024999999999
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,56,3,4,0.2,1,True,7,23009,21760,4790,0.013602599999999998
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,32,3,6,0.2,1,True,4,13162,12416,2097,0.007718775
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,40,3,4,0.2,2,True,5,16435,15616,2250,0.009661199999999998
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,48,3,6,0.2,2,True,6,19819,18560,2648,0.01152345
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,56,3,4,0.2,2,True,7,22980,22016,21241,0.014947275000000001
101,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,48,3,6,0.2,2,True,6,19817,18560,19139,0.012759975
132,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3301,3072,548,0.00191865
132,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3301,3200,360,0.0019621499999999997
132,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3301,3072,459,0.001911975
